Common_Name,Family,Scientific_Name,Threat_Level,US_Nativity
Japanese stiltgrass,Poaceae,Microstegium vimineum (Trin.) A. Camus,3,Exotic
thoroughwort pennycress,Brassicaceae,Microthlaspi perfoliatum (L.) F.K. Mey.,3,Exotic
Chinese silvergrass,Poaceae,Miscanthus sinensis Anderss.,3,Exotic
white mulberry,Moraceae,Morus alba L.,3,Exotic
miniature beefsteakplant,Lamiaceae,Mosla dianthera (Buch.-Ham. ex Roxb.) Maxim.,3,Exotic
brittleleaf naiad,Najadaceae,Najas minor All.,3,Exotic
sacred bamboo,Berberidaceae,Nandina domestica Thunb.,3,Exotic
watercress,Brassicaceae,Nasturtium officinale R. Brown,3,Exotic
catnip,Lamiaceae,Nepeta cataria L.,3,Exotic
star-of-Bethlehem,Asparagaceae,Ornithogalum umbellatum L.,3,Exotic
yellow woodsorrel,Oxalidaceae,Oxalis stricta L.,3,Native
dallisgrass,Poaceae,Paspalum dilatatum Poir.,3,Exotic
wild parsnip,Apiaceae,Pastinaca sativa L.,3,Exotic
princesstree,Scrophulariaceae,Paulownia tomentosa (Thunb.) Sieb. & Zucc. ex Steud.,3,Exotic
perilla mint,Lamiaceae,Perilla frutescens (L.) Britton,3,Exotic
ladysthumb,Polygonaceae,Persicaria maculosa S.F. Gray,3,Exotic
"mile-a-minute vine, Asiatic tearthumb",Polygonaceae,Persicaria perfoliata (L.) H. Gross,3,Exotic
Amur corktree,Rutaceae,Phellodendron amurense Rupr.,3,Exotic
common reed,Poaceae,Phragmites australis (Cavanilles) Trinius ex Steudel,3,Exotic
golden bamboo,Poaceae,Phyllostachys aurea Carr. ex A.& C. Rivière,3,Exotic
annual bluegrass,Poaceae,Poa annua L.,3,Exotic
Canada bluegrass,Poaceae,Poa compressa L.,3,Exotic
Kentucky bluegrass,Poaceae,Poa pratensis L.,3,
Oriental lady's thumb,Polygonaceae,Polygonum cespitosum var. cespitosum Blume,3,Exotic
white poplar,Salicaceae,Populus alba L.,3,Exotic
curly-leaved pondweed,Potamogetonaceae,Potamogeton crispus L.,3,Exotic
false strawberry,Rosaceae,Potentilla indica (Andr.) Wolf,4,Exotic
sulfur cinquefoil,Rosaceae,Potentilla recta L.,4,Exotic
Mahaleb cherry,Rosaceae,Prunus mahaleb L.,4,Exotic
kudzu,Fabaceae (Leguminosae),Pueraria montana var. lobata (Willd.) Maesen & S. Almeida,4,Exotic
Callery pear (Bradford pear),Rosaceae,Pyrus calleryana Decne.,4,Exotic
sawtooth oak,Fagaceae,Quercus acutissima Carruthers,4,Exotic
bulbous buttercup,Ranunculaceae,Ranunculus bulbosus L.,4,Exotic
Japanese knotweed,Polygonaceae,Reynoutria japonica Sieb. & Zucc.,4,Exotic
giant knotweed,Polygonaceae,Reynoutria sachalinensis F. Schmidt ex Maxim.,4,Exotic
"common buckthorn, European buckthorn",Rhamnaceae,Rhamnus cathartica L.,4,Exotic
jetbead,Rosaceae,Rhodotypos scandens (Thunb.) Makino,4,Exotic
multiflora rose,Rosaceae,Rosa multiflora Thunb.,4,Exotic
Himalayan blackberry,Rosaceae,Rubus bifrons Vest ex Tratt.,4,Exotic
wine raspberry,Rosaceae,Rubus phoenicolasius Maxim.,4,Exotic
red sorrel,Polygonaceae,Rumex acetosella L.,4,Exotic
purple crown-vetch,Fabaceae (Leguminosae),Securigera varia (L.) Lassen,4,Exotic
giant foxtail,Poaceae,Setaria faberi Herrm.,4,Exotic
bristly foxtail,Poaceae,Setaria verticillata (L.) Beauv.,4,Exotic
green foxtail,Poaceae,Setaria viridis (L.) Beauv.,4,Exotic
bittersweet nightshade,Solanaceae,Solanum dulcamara L.,4,Exotic
spiny sowthistle,Asteraceae,Sonchus asper (L.) Hill,4,Exotic
annual sowthistle,Asteraceae,Sonchus oleraceus L.,4,Exotic
johnsongrass,Poaceae,Sorghum halepense (L.) Pers.,4,Exotic
Japanese spiraea,Rosaceae,Spiraea japonica L. f.,4,Exotic
common chickweed,Caryophyllaceae,Stellaria media (L.) Vill.,4,Exotic
roadside pennycress,Brassicaceae,Thlaspi alliaceum L.,4,Exotic
spreading hedgeparsley,Apiaceae,Torilis arvensis (Huds.) Link,4,Exotic
"Japanese hedge-parsley, erect hedgeparsley",Apiaceae,Torilis japonica (Houtt.) DC.,4,Exotic
large hop clover,Fabaceae (Leguminosae),Trifolium campestre Schreb.,4,Exotic
red clover,Fabaceae (Leguminosae),Trifolium pratense L.,4,Exotic
white clover,Fabaceae (Leguminosae),Trifolium repens L.,4,Exotic
coltsfoot,Asteraceae,Tussilago farfara L.,4,Exotic
hybrid cattail,Typhaceae,Typha x glauca Godr. [angustifolia x latifolia],4,Native
