Scientific_Name,Subject_Name,Family,US_Nativity
Lespedeza cuneata (Dum.-Cours.) G. Don,sericea lespedeza,Fabaceae (Leguminosae),Exotic
Lespedeza thunbergii (DC.) Nakai,Thunberg lespedeza,Fabaceae (Leguminosae),Exotic
Leucanthemum vulgare Lam.,oxeye daisy,Asteraceae,Exotic
Ligustrum sinense Lour.,Chinese privet,Oleaceae,Exotic
Lolium multiflorum Lam.,annual ryegrass,Poaceae,Exotic
Lonicera japonica Thunb.,Japanese honeysuckle,Caprifoliaceae,Exotic
Lonicera maackii (Rupr.) Herder,Amur honeysuckle,Caprifoliaceae,Exotic
Lonicera morrowii Gray,Morrow's honeysuckle,Caprifoliaceae,Exotic
Lonicera tatarica L.,Tatarian honeysuckle,Caprifoliaceae,Exotic
Lonicera x bella Zabel [morrowii × tatarica],"showy fly honeysuckle, Bell's honeysuckle",Caprifoliaceae,Exotic
Lotus corniculatus L.,birdsfoot trefoil,Fabaceae (Leguminosae),Exotic
Lysimachia nummularia L.,"creeping yellow loosestrife, creeping Jenny",Primulaceae,Exotic
Lythrum salicaria L.,purple loosestrife,Lythraceae,Exotic
Mahonia bealei (Fortune) Carr.,leatherleaf mahonia,Berberidaceae,Exotic
Medicago lupulina L.,black medic,Fabaceae (Leguminosae),Exotic
Melilotus albus Medikus,white sweetclover,Fabaceae (Leguminosae),Exotic
Melilotus officinalis (L.) Lam.,yellow sweet-clover,Fabaceae (Leguminosae),Exotic
Mentha spicata L.,spearmint,Lamiaceae,Exotic
Mentha x piperita L. (pro sp.),peppermint,Lamiaceae,Exotic
Microstegium vimineum (Trin.) A. Camus,Japanese stiltgrass,Poaceae,Exotic
Microthlaspi perfoliatum (L.) F.K. Mey.,thoroughwort pennycress,Brassicaceae,Exotic
Miscanthus sinensis Anderss.,Chinese silvergrass,Poaceae,Exotic
Morus alba L.,white mulberry,Moraceae,Exotic
Mosla dianthera (Buch.-Ham. ex Roxb.) Maxim.,miniature beefsteakplant,Lamiaceae,Exotic
Najas minor All.,brittleleaf naiad,Najadaceae,Exotic
Nandina domestica Thunb.,sacred bamboo,Berberidaceae,Exotic
Nasturtium officinale R. Brown,watercress,Brassicaceae,Exotic
Nepeta cataria L.,catnip,Lamiaceae,Exotic
Ornithogalum umbellatum L.,star-of-Bethlehem,Asparagaceae,Exotic
Oxalis stricta L.,yellow woodsorrel,Oxalidaceae,Native
Paspalum dilatatum Poir.,dallisgrass,Poaceae,Exotic
Pastinaca sativa L.,wild parsnip,Apiaceae,Exotic
Paulownia tomentosa (Thunb.) Sieb. & Zucc. ex Steud.,princesstree,Scrophulariaceae,Exotic
Perilla frutescens (L.) Britton,perilla mint,Lamiaceae,Exotic
Persicaria maculosa S.F. Gray,ladysthumb,Polygonaceae,Exotic
Persicaria perfoliata (L.) H. Gross,"mile-a-minute vine, Asiatic tearthumb",Polygonaceae,Exotic
Phellodendron amurense Rupr.,Amur corktree,Rutaceae,Exotic
Phragmites australis (Cavanilles) Trinius ex Steudel,common reed,Poaceae,Exotic
Phyllostachys aurea Carr. ex A.& C. Rivière,golden bamboo,Poaceae,Exotic
Poa annua L.,annual bluegrass,Poaceae,Exotic
Poa compressa L.,Canada bluegrass,Poaceae,Exotic
Poa pratensis L.,Kentucky bluegrass,Poaceae,
Polygonum cespitosum var. cespitosum Blume,Oriental lady's thumb,Polygonaceae,Exotic
Populus alba L.,white poplar,Salicaceae,Exotic
Potamogeton crispus L.,curly-leaved pondweed,Potamogetonaceae,Exotic
Potentilla indica (Andr.) Wolf,false strawberry,Rosaceae,Exotic
Potentilla recta L.,sulfur cinquefoil,Rosaceae,Exotic
Prunus mahaleb L.,Mahaleb cherry,Rosaceae,Exotic
Pueraria montana var. lobata (Willd.) Maesen & S. Almeida,kudzu,Fabaceae (Leguminosae),Exotic
Pyrus calleryana Decne.,Callery pear (Bradford pear),Rosaceae,Exotic
Quercus acutissima Carruthers,sawtooth oak,Fagaceae,Exotic
Ranunculus bulbosus L.,bulbous buttercup,Ranunculaceae,Exotic
Reynoutria japonica Sieb. & Zucc.,Japanese knotweed,Polygonaceae,Exotic
Reynoutria sachalinensis F. Schmidt ex Maxim.,giant knotweed,Polygonaceae,Exotic
Rhamnus cathartica L.,"common buckthorn, European buckthorn",Rhamnaceae,Exotic
Rhodotypos scandens (Thunb.) Makino,jetbead,Rosaceae,Exotic
Rosa multiflora Thunb.,multiflora rose,Rosaceae,Exotic
Rubus bifrons Vest ex Tratt.,Himalayan blackberry,Rosaceae,Exotic
Rubus phoenicolasius Maxim.,wine raspberry,Rosaceae,Exotic
Rumex acetosella L.,red sorrel,Polygonaceae,Exotic
Securigera varia (L.) Lassen,purple crown-vetch,Fabaceae (Leguminosae),Exotic
Setaria faberi Herrm.,giant foxtail,Poaceae,Exotic
Setaria verticillata (L.) Beauv.,bristly foxtail,Poaceae,Exotic
Setaria viridis (L.) Beauv.,green foxtail,Poaceae,Exotic
Solanum dulcamara L.,bittersweet nightshade,Solanaceae,Exotic
Sonchus asper (L.) Hill,spiny sowthistle,Asteraceae,Exotic
Sonchus oleraceus L.,annual sowthistle,Asteraceae,Exotic
Sorghum halepense (L.) Pers.,johnsongrass,Poaceae,Exotic
